option_header_id,option_line_id,option_line_code,option_line_value,description,value_group_id,efid,status,rev_enabled,rev_number,effective_start_date,effective_end_date
134,,AED,UAE Dirham,United Arab Emirates,,0,,enabled,1,1/1/2000,
134,,AFN,Afghani,Afghanistan,,0,,enabled,1,1/1/2000,
134,,ALL,Lek,Albania,,0,,enabled,1,1/1/2000,
134,,AMD,Armenian Dram,Armenia,,0,,enabled,1,1/1/2000,
134,,ANG,Netherlands Antillian Guilder,Netherlands Antilles,,0,,enabled,1,1/1/2000,
134,,AOA,Kwanza,Angola,,0,,enabled,1,1/1/2000,
134,,ARS,Argentine Peso,Argentina,,0,,enabled,1,1/1/2000,
134,,AUD,Australian Dollar,"Australia, Australian Antarctic Territory, Christmas Island, Cocos (Keeling) Islands, Heard and McDonald Islands, Kiribati, Nauru, Norfolk Island, Tuvalu",,0,,enabled,1,1/1/2000,
