option_header_id,option_line_id,option_line_code,option_line_value,description,value_group_id,efid,status,rev_enabled,rev_number,effective_start_date,effective_end_date
134,,MNT,Tugrik,Mongolia,,0,,enabled,1,1/1/2000,
134,,MOP,Pataca,Macau Special Administrative Region,,0,,enabled,1,1/1/2000,
134,,MRO,Ouguiya,Mauritania,,0,,enabled,1,1/1/2000,
134,,MTL,Maltese Lira,Malta,,0,,enabled,1,1/1/2000,
134,,MUR,Mauritius Rupee,Mauritius,,0,,enabled,1,1/1/2000,
134,,MVR,Rufiyaa,Maldives,,0,,enabled,1,1/1/2000,
134,,MWK,Kwacha,Malawi,,0,,enabled,1,1/1/2000,
134,,MXN,Mexican Peso,Mexico,,0,,enabled,1,1/1/2000,
134,,MXV,Mexican Unidad de Inversion,Mexico,,0,,enabled,1,1/1/2000,
134,,MYR,Malaysian Ringgit,Malaysia,,0,,enabled,1,1/1/2000,
134,,MZN,Metical,Mozambique,,0,,enabled,1,1/1/2000,
134,,NAD,Namibian Dollar,Namibia,,0,,enabled,1,1/1/2000,
134,,NGN,Naira,Nigeria,,0,,enabled,1,1/1/2000,
134,,NIO,Cordoba Oro,Nicaragua,,0,,enabled,1,1/1/2000,
134,,NOK,Norwegian Krone,Norway,,0,,enabled,1,1/1/2000,
134,,NPR,Nepalese Rupee,Nepal,,0,,enabled,1,1/1/2000,
134,,NZD,New Zealand Dollar,"Cook Islands, New Zealand, Niue, Pitcairn, Tokelau",,0,,enabled,1,1/1/2000,
134,,OMR,Rial Omani,Oman,,0,,enabled,1,1/1/2000,
134,,PAB,Balboa,Panama,,0,,enabled,1,1/1/2000,
134,,PEN,Nuevo Sol,Peru,,0,,enabled,1,1/1/2000,
134,,PGK,Kina,Papua New Guinea,,0,,enabled,1,1/1/2000,
134,,PHP,Philippine Peso,Philippines,,0,,enabled,1,1/1/2000,
134,,PKR,Pakistan Rupee,Pakistan,,0,,enabled,1,1/1/2000,
134,,PLN,Zloty,Poland,,0,,enabled,1,1/1/2000,
134,,PYG,Guarani,Paraguay,,0,,enabled,1,1/1/2000,
134,,QAR,Qatari Rial,Qatar,,0,,enabled,1,1/1/2000,
134,,RON,Romanian New Leu,Romania,,0,,enabled,1,1/1/2000,
134,,RSD,Serbian Dinar,Serbia,,0,,enabled,1,1/1/2000,
134,,RUB,Russian Ruble,"Russia, Abkhazia, South Ossetia",,0,,enabled,1,1/1/2000,
134,,RWF,Rwanda Franc,Rwanda,,0,,enabled,1,1/1/2000,
134,,SAR,Saudi Riyal,Saudi Arabia,,0,,enabled,1,1/1/2000,
134,,SBD,Solomon Islands Dollar,Solomon Islands,,0,,enabled,1,1/1/2000,
134,,SCR,Seychelles Rupee,Seychelles,,0,,enabled,1,1/1/2000,
134,,SDG,Sudanese Pound,Sudan,,0,,enabled,1,1/1/2000,
134,,SEK,Swedish Krona,Sweden,,0,,enabled,1,1/1/2000,
134,,SHP,Saint Helena Pound,Saint Helena,,0,,enabled,1,1/1/2000,
134,,SKK,Slovak Koruna,Slovakia,,0,,enabled,1,1/1/2000,
134,,SLL,Leone,Sierra Leone,,0,,enabled,1,1/1/2000,
134,,SOS,Somali Shilling,Somalia,,0,,enabled,1,1/1/2000,
134,,SRD,Surinam Dollar,Suriname,,0,,enabled,1,1/1/2000,
134,,STD,Dobra,São Tomé and Príncipe,,0,,enabled,1,1/1/2000,
134,,SYP,Syrian Pound,Syria,,0,,enabled,1,1/1/2000,
134,,SZL,Lilangeni,Swaziland,,0,,enabled,1,1/1/2000,
134,,THB,Baht,Thailand,,0,,enabled,1,1/1/2000,
134,,TJS,Somoni,Tajikistan,,0,,enabled,1,1/1/2000,
134,,TMM,Manat,Turkmenistan,,0,,enabled,1,1/1/2000,
134,,TND,Tunisian Dinar,Tunisia,,0,,enabled,1,1/1/2000,
134,,TOP,Pa'anga,Tonga,,0,,enabled,1,1/1/2000,
134,,TRY,New Turkish Lira,Turkey,,0,,enabled,1,1/1/2000,
134,,TTD,Trinidad and Tobago Dollar,Trinidad and Tobago,,0,,enabled,1,1/1/2000,
134,,TWD,New Taiwan Dollar,Taiwan and other islands that are under the effective control of the Republic of China (ROC),,0,,enabled,1,1/1/2000,
134,,TZS,Tanzanian Shilling,Tanzania,,0,,enabled,1,1/1/2000,
134,,UAH,Hryvnia,Ukraine,,0,,enabled,1,1/1/2000,
134,,UGX,Uganda Shilling,Uganda,,0,,enabled,1,1/1/2000,
134,,USN,,United States,,0,,enabled,1,1/1/2000,
134,,USS,,United States,,0,,enabled,1,1/1/2000,
134,,UYU,Peso Uruguayo,Uruguay,,0,,enabled,1,1/1/2000,
134,,UZS,Uzbekistan Som,Uzbekistan,,0,,enabled,1,1/1/2000,
134,,VEB,Venezuelan bolívar,Venezuela,,0,,enabled,1,1/1/2000,
134,,VND,Vietnamese ??ng,Vietnam,,0,,enabled,1,1/1/2000,
134,,VUV,Vatu,Vanuatu,,0,,enabled,1,1/1/2000,
134,,WST,Samoan Tala,Samoa,,0,,enabled,1,1/1/2000,
134,,XAF,CFA Franc BEAC,"Cameroon, Central African Republic, Congo, Chad, Equatorial Guinea, Gabon",,0,,enabled,1,1/1/2000,
134,,XAG,Silver,one Troy ounce,,0,,enabled,1,1/1/2000,
134,,XAU,Gold ,one Troy ounce,,0,,enabled,1,1/1/2000,
134,,XBA,European Composite Unit ,(EURCO) (Bonds market unit),,0,,enabled,1,1/1/2000,
134,,XBB,European Monetary Unit ,(E.M.U.-6) (Bonds market unit),,0,,enabled,1,1/1/2000,
134,,XBC,European Unit of Account 9, (E.U.A.-9) (Bonds market unit),,0,,enabled,1,1/1/2000,
134,,XBD,European Unit of Account 17 ,(E.U.A.-17) (Bonds market unit),,0,,enabled,1,1/1/2000,
134,,XCD,East Caribbean Dollar,"Anguilla, Antigua and Barbuda, Dominica, Grenada, Montserrat, Saint Kitts and Nevis, Saint Lucia, Saint Vincent and the Grenadines",,0,,enabled,1,1/1/2000,
134,,XDR,Special Drawing Rights,International Monetary Fund,,0,,enabled,1,1/1/2000,
134,,XFO,Gold franc ,Bank for International Settlements,,0,,enabled,1,1/1/2000,
134,,XFU,UIC franc ,International Union of Railways,,0,,enabled,1,1/1/2000,
134,,XOF,CFA Franc BCEAO,"Benin, Burkina Faso, Côte d'Ivoire, Guinea-Bissau, Mali, Niger, Senegal, Togo",,0,,enabled,1,1/1/2000,
134,,XPD,Palladium,,,0,,enabled,1,1/1/2000,
134,,XPT,Platinum, (one Troy ounce),,0,,enabled,1,1/1/2000,
134,,XTS,Code ,reserved for testing purposes,,0,,enabled,1,1/1/2000,
134,,XXX,No currency,,,0,,enabled,1,1/1/2000,
134,,YER,Yemeni Rial,Yemen,,0,,enabled,1,1/1/2000,
134,,ZAR,South African Rand,South Africa,,0,,enabled,1,1/1/2000,
134,,ZMK,Kwacha,Zambia,,0,,enabled,1,1/1/2000,
134,,ZWD,Zimbabwe Dollar,Zimbabwe,,0,,enabled,1,1/1/2000,
